Lat.,Lon.,Layer,Time,WA_U,WA_D,WA_R,RUD
35.313964,139.68955,1,0,17.73,10.31,37.32,0.18
35.313964,139.694054,1,0,17.64,10.09,36.96,0.18
35.313964,139.698559,1,0,17.6,9.84,36.56,0.18
35.313964,139.703063,1,0,17.43,9.8,36.13,0.18
35.313964,139.707568,1,0,17.3,9.72,35.66,0.18
35.313964,139.712072,1,0,17.25,9.58,35.11,0.18
35.313964,139.716577,1,0,17.1,9.62,34.6,0.18
35.313964,139.721081,1,0,16.97,9.62,34.03,0.17
35.313964,139.725586,1,0,16.87,9.67,33.46,0.17
35.313964,139.73009,1,0,16.78,9.87,32.96,0.17
35.313964,139.734595,1,0,16.75,9.99,32.4,0.17
35.313964,139.739099,1,0,16.75,10.18,31.95,0.17
35.313964,139.743604,1,0,16.76,10.33,31.46,0.17
35.313964,139.748108,1,0,16.85,10.36,30.94,0.17
35.313964,139.752613,1,0,16.98,10.29,30.34,0.17
35.313964,139.757117,1,0,17.15,10.06,29.68,0.18
35.313964,139.761622,1,0,17.32,9.72,28.95,0.19
35.313964,139.766126,1,0,17.49,9.16,28.14,0.2
35.313964,139.770631,1,0,17.62,8.72,27.46,0.2
35.313964,139.775135,1,0,17.69,8.48,26.95,0.21
35.313964,139.77964,1,0,17.66,8.04,26.34,0.21
35.313964,139.784144,1,0,17.68,8.06,26.13,0.21
35.313964,139.788649,1,0,17.56,8.04,25.87,0.21
35.313964,139.793153,1,0,17.23,7.47,25.18,0.21
35.313964,139.797658,1,0,17.01,7.13,24.69,0.22
35.318468,139.658018,1,0,18.2,9.97,37.16,0.18
35.318468,139.662523,1,0,18.34,10.6,37.72,0.18
35.318468,139.667027,1,0,18.13,10.89,37.94,0.18
35.318468,139.671532,1,0,17.9,11.03,38.04,0.17
35.318468,139.676036,1,0,17.76,10.97,37.98,0.17
35.318468,139.680541,1,0,17.69,10.81,37.85,0.17
35.318468,139.685045,1,0,17.61,10.62,37.61,0.17
35.318468,139.68955,1,0,17.59,10.39,37.32,0.17
35.318468,139.694054,1,0,17.45,10.25,36.98,0.17
35.318468,139.698559,1,0,17.39,10.09,36.59,0.17
35.318468,139.703063,1,0,17.25,10.06,36.19,0.17
35.318468,139.707568,1,0,17.11,10.02,35.73,0.17
35.318468,139.712072,1,0,17.06,9.92,35.2,0.17
35.318468,139.716577,1,0,16.87,10.05,34.73,0.17
35.318468,139.721081,1,0,16.72,10.16,34.23,0.17
35.318468,139.725586,1,0,16.63,10.25,33.68,0.17
35.318468,139.73009,1,0,16.52,10.47,33.2,0.16
35.318468,139.734595,1,0,16.47,10.66,32.69,0.16
35.318468,139.739099,1,0,16.44,10.87,32.24,0.16
35.318468,139.743604,1,0,16.45,11.02,31.76,0.16
35.318468,139.748108,1,0,16.53,10.99,31.22,0.16
35.318468,139.752613,1,0,16.61,10.88,30.61,0.16
35.318468,139.757117,1,0,16.76,10.54,29.86,0.17
35.318468,139.761622,1,0,16.92,10.09,29.06,0.17
35.318468,139.766126,1,0,17.05,9.54,28.23,0.18
35.318468,139.770631,1,0,17.17,9.04,27.48,0.19
35.318468,139.775135,1,0,17.25,8.58,26.79,0.2
35.318468,139.77964,1,0,17.22,8.21,26.27,0.2
35.318468,139.784144,1,0,17.24,8.38,26.2,0.2
35.318468,139.788649,1,0,17.22,8.31,26.0,0.2
35.318468,139.793153,1,0,17.12,8.4,25.94,0.2
35.318468,139.797658,1,0,17.48,10.51,27.61,0.17
35.318468,139.802162,1,0,17.72,12.89,29.58,0.14
35.318468,139.806667,1,0,16.83,13.58,30.06,0.11
35.318468,139.811171,1,0,15.77,13.42,29.76,0.09
35.318468,139.815676,1,0,15.98,13.79,30.08,0.09
35.322973,139.635495,1,0,9.14,-10.7,17.79,0.18
35.322973,139.662523,1,0,18.61,10.86,37.99,0.18
35.322973,139.667027,1,0,18.38,11.11,38.18,0.18
35.322973,139.671532,1,0,18.03,11.16,38.18,0.17
35.322973,139.676036,1,0,17.82,11.09,38.1,0.17
35.322973,139.680541,1,0,17.64,10.93,37.9,0.17
35.322973,139.685045,1,0,17.53,10.74,37.66,0.17
35.322973,139.68955,1,0,17.41,10.59,37.36,0.17
35.322973,139.694054,1,0,17.24,10.47,37.02,0.17
35.322973,139.698559,1,0,17.19,10.35,36.66,0.17
35.322973,139.703063,1,0,17.04,10.37,36.28,0.17
35.322973,139.707568,1,0,16.9,10.41,35.87,0.17
35.322973,139.712072,1,0,16.8,10.41,35.4,0.17
35.322973,139.716577,1,0,16.62,10.57,34.96,0.16
35.322973,139.721081,1,0,16.46,10.73,34.48,0.16
35.322973,139.725586,1,0,16.35,10.86,33.95,0.16
35.322973,139.73009,1,0,16.22,11.13,33.52,0.15
35.322973,139.734595,1,0,16.15,11.38,33.04,0.15
